Latitude,Longitude,Depth,Magnitude
29.06,77.42,5,2.5
19.93,72.92,5,2.4
31.5,74.37,33,3.4
28.34,76.23,5,3.1
27.09,89.97,10,2.1
38.52,73.27,115,5.2
27.9,94.2,10,3
26.6,92.51,28,3.1
22.88,95.95,10,5.5
37.96,72.39,160,4.3
32.29,76.65,10,2.6
38.1,75.45,10,4.4
36.78,73.49,19,4.2
24.6,94.33,50,4.9
16,78.22,10,4
27.29,88.5,10,4
37.37,71.85,100,4.2
28.97,77.2,18,2.4
36.57,70.78,250,4.5
30.74,78.68,10,3.4
27.56,91.13,10,3.2
27.35,86.86,10,3.5
25.94,92.56,5,2.9
24.84,94.15,40,3.5
29.65,69.5,15,4.8
27.32,88.86,10,2.8
36.88,71.61,23,3.6
29.19,70.05,110,5.3
34.2,77.78,200,3.6
25.88,90.34,10,4.1
29.01,76.91,5,2.1
29.01,76.91,5,2.3
29.28,69.05,250,4.5
20.02,72.92,5,3.4
27.4,88.62,10,3.2
28.84,81.22,23,3.8
23.39,70.39,10,3.9
34.13,77.8,20,3.7
32.43,76.48,10,2.6
28.75,76.6,10,2.2
28.69,76.71,10,2.8
31.58,78.19,5,3.1
37.23,71.25,146,3.6
26.48,92.44,10,3.4
22.48,94.42,10,3.1
31.19,77.92,10,3.6
17.47,73.26,5,3.5
36.66,71.64,10,4
23.46,94.61,19,4.4
22.45,94.19,10,3.8
36.52,71.14,10,3.5
28.89,89,10,3.4
25.99,90.4,8,3.4
36.52,71.31,70,3.9
36.56,71.43,20,3.9
36.47,70.72,165,4.6
29.12,77.4,5,2.4
14.5,93.14,10,4.2
38.44,71.59,10,3.1
39.11,69.57,130,3.8
19.7,77.28,10,3
19.73,77.77,10,4.4
38.81,70.34,10,4.2
39.14,70.94,160,4.3
39.04,70.68,160,4.7
2.25,97.29,40,5.5
38.91,70.73,37,5.9
26.62,92.45,17,3.1
25.99,90.27,5,4.3
37.05,72,90,4.6
24.7,94.99,90,4.5
34.83,97.83,10,4.8
26.34,92.79,15,2.9
36.51,71.26,167,5.1
37.4,73.03,10,4.1
31.66,96.56,10,3.9
25.97,90.42,10,3.7
34.68,98.42,22,4.5
26.15,90.28,14,5.2
37.78,74.16,10,4.3
37.3,72.52,10,4.1
37.5,69.18,46,3.9
28.7,76.65,5,3.7
24.67,94.14,20,2.8
22.46,93.64,10,3.5
27.25,89.38,14,2.9
32.89,98.86,120,4.6
39.17,71.78,50,4.1
26.22,96.31,45,3.8
24.81,93.9,30,3.3
36.55,70.86,168,3.9
20.05,72.94,5,3.6
20.01,72.83,5,3.1
26.52,92.52,65,2.7
27.4,89.54,50,3.1
30.084,80.26,10,3.7
34.49,78.43,18,4.6
39.32,75.05,10,3.8
25.48,93.79,10,2.3
37.12,72.11,30,3.9
36.6,71.27,16,3.8
34.87,69.15,10,5.3
20.01,72.95,5,3.7
35.81,70.93,131,4.5
39.81,77.07,10,3.9
33.38,71.51,100,4.5
28.13,92.09,70,4.6
28.28,87.82,10,4
26.53,92.67,15,2.8
1.6,92.23,10,4.9
27,93.43,10,3
28.67,77.14,7,2.1
31.29,78.46,15,3.1
29.55,84.31,15,4.3
25.28,94.3,30,3.6
28.89,94.79,17,3.1
31.9,69.92,10,4.8
26.72,92.4,30,4.2
23.42,70.32,20,4
26.73,92.4,10,2.8
25.67,91.29,10,2.6
26.73,92.44,22,4.1
24.3,94.1,10,3
34.73,73.26,20,4.8
7.29,84.63,50,4.8
38.02,93.53,10,5.4
36.07,65.46,10,4.1
34.29,70.27,30,4.4
23.83,94,15,2.7
26.59,92.19,10,3
26.65,97,10,4.4
31.68,75.56,36,2.9
37.75,73.21,10,4
37.22,72.47,50,3.9
26.52,92.28,10,2.8
36.39,71.3,110,4
17.69,95.69,10,3.9
20.81,84.99,5,3.5
24.85,97.85,19,4.9
36.48,70.78,30,4.3
27.07,92.52,10,3.6
31.96,72.89,10,4.1
36.26,71.83,120,4.3
34.4,81.6,10,3.9
37.04,72.66,20,4.1
32.99,75.82,5,2.5
24.48,94.48,47,2.6
37.47,72.6,10,3.7
25.29,94.68,10,3.1
31.7,68.72,10,4.1
24.97,94.96,80,3.6
32.41,76.51,10,2.9
34.68,97.8,63,4.8
24.27,94.28,10,3.5
36.9,67.75,150,4.1
37.74,68.24,120,3.8
10.6,91.52,10,4.2
36.39,68.39,10,4.3
26.41,90.15,5,2.8
36.93,68.11,10,4.4
36.84,68.4,10,4.3
26.55,96.05,10,3.6
26.77,92.42,10,3.5
36.67,71.5,135,4.2
33.12,75.87,5,3.1
37.16,71.79,46,4.3
23.21,94.64,80,4.7
28.72,77.13,8,2.4
26.69,92.35,24,3.8
24.65,94.77,24,3.4
36.35,70.27,59,4.1
26.69,92.39,16,4.1
34.55,98.29,12,4.7
34.61,98.07,10,4.7
24.51,94.69,16,3.9
24.79,91.61,3.4,3.4
25.09,92.17,15,3
38.1,74.14,150,4.5
25.57,91.78,10,3.5
22.53,94.62,90,4.4
37.15,69.31,30,5.3
27.76,66.39,10,4.6
37.82,72.34,10,3.6
36.07,70.89,170,3.7
38.84,74.71,10,2.8
25.04,93.52,12,2.7
26.54,99.5,10,4
34.55,99.06,30,4.8
30.66,67.02,100,4.4
30.76,65.94,117,4.4
26.85,88.72,5,3.8
29.33,87,10,3.6
29.54,86.43,10,3.9
28.99,86.46,150,4.5
23.55,94.58,90,4.3
25.36,94.11,30,2.6
34.9,97.83,10,4.5
4.24,95.16,52,4.6
33.93,97.17,81,4.3
30.94,79.44,22,4.3
37.31,70.51,14,3.3
17.36,73.84,5,3.3
37.31,72.32,349,4.1
24.79,94.94,109,4.3
35.27,73.57,5,3.5
27.73,92.58,10,2.8
25.59,99.08,10,4.3
34.77,97.39,10,4.5
33.15,75.92,10,3.3
34.1,97.8,10,4.5
35.47,99.56,34,4.2
34.78,97.96,12,4.6
34.57,76.64,40,3.6
34.53,98.43,10,5
35.02,97.6,10,4.7
25.78,99.01,10,4.1
19.72,95.56,16,4.1
34.56,98.28,10,4.7
34.66,98.19,10,4.5
34.64,97.94,10,4.5
34.49,98.94,10,4.8
34.65,98.06,10,7
26.26,96.94,10,2.9
25.77,99.16,10,4
26.06,98.46,30,4.3
25.88,99.35,10,5
25.67,99.96,100,5.8
35.29,77.98,90,4.2
32.83,76.13,10,3.2
37.06,71.61,84,4
28.26,84.59,10,4.4
28.3,84.61,10,3.9
26.22,91.47,30,3.2
34.05,70.5,180,4.5
33.04,75.92,5,3.2
28.72,77.03,5,1.9
28.2,84.42,10,4.9
28.24,84.36,10,5.3
26.72,92.45,19,3.8
37.34,76.88,10,4.2
15.46,93.37,34,4.1
30.92,91.88,165,4.2
36.02,71.67,175,4.3
37.22,72.18,115,4
20.68,71.02,10,3.8
26.06,92.6,5,2.5
27.21,92.34,22,2.6
26.74,92.39,16,3.9
26.28,95.26,81,4.2
22.85,93.75,30,3.1
24.99,95.03,101,4.3
39.57,73.03,10,4.7
0.14,96.75,10,6.6
36.49,69.45,147,4.7
36.77,86.62,10,4.8
23.519,92.614,10,3.3
25.93,92.84,10,2.6
25.59,92.43,20,2.3
36.79,71.58,82,3.9
26.73,92.36,16,3.1
34.51,74.16,10,3.1
36.45,71.06,174,4.3
26.49,92.46,23,3
32.32,76.86,5,2.4
27.76,92.86,10,2.4
26.69,92.42,23,3.7
26.68,92.39,18,2.9
22.46,92.8,28,3.7
37.25,71.94,108,4.4
36.32,71.22,25,3.6
33.05,75.99,5,2.7
25.63,91.95,13,3.1
17.46,74.51,10,2.7
17.36,73.84,10,2.5
29.77,80.58,9,3.2
31.52,68.67,113,4.5
25.18,93.6,154,3.8
32.98,76.08,10,3
26.32,91.44,28,2.9
27.25,88.68,10,3.1
26.75,92.42,10,2.8
36.45,70.99,180,4.2
37.22,70.02,238,4.3
36.26,71.31,210,4.2
38.48,75.04,50,4.3
34.89,73.62,50,3.7
22.96,95.07,74,3.6
26.33,92.34,68,2.8
22.41,78.95,30,3
27.01,92.46,17,2.9
36.41,71.11,156,4.2
26.55,92.39,10,3.6
25.88,92.24,10,2.9
26.68,92.39,27,3.5
25.13,94.87,50,3.9
27.39,92.38,10,3.2
8.69,94.41,85,4.3
23.79,93.92,10,3.2
36.47,71.41,120,3.9
28.52,86.5,165,4.1
23.43,94.11,93,3.9
38.36,75.52,136,4.3
37.11,74.41,10,4.8
26.65,92.41,25,2.8
31.71,91.84,10,3.7
26.09,90.41,33,2.5
26.71,92.39,17,2.8
26.74,92.45,10,3.7
25.9,95.21,53.9,3.5
5.804,94.887,10,4.5
26.43,92.24,40,2.7
26.87,91.94,10,2.8
26.82,92.43,13,2.6
25.06,65.36,25,4.2
26.71,92.4,16,2.7
26.73,92.37,14,2.7
26.72,92.39,15,3.3
26.09,92.31,27,2.6
18.86,96.95,75,4.4
37.03,72.34,50,3.4
5.64,94.44,30,4.6
38,69.25,50,3.9
30.64,76.01,10,2.9
24.38,94.65,34,3.6
26.59,92.39,27,3.2
26.58,92.51,40,3.5
24.87,93.59,10,2.6
23.54,94.8,10,3.6
27.31,89.12,5,2.1
34.65,73.14,10,3.6
37.22,71.68,27,3.5
36.38,71.31,150,4.4
26.9,92.43,10,2.8
28.16,71.56,51,3.6
26.74,92.36,10,2.8
26.59,92.47,26,3.3
8.47,77.51,5,2.3
26.61,92.33,27,3.6
36.14,71.17,75,4.1
26.86,93.01,30,2.8
26.73,92.42,11,2.7
26.73,92.43,16,2.7
26.78,92.4,11,2.3
26.72,92.43,19,4.6
26.71,92.4,19,2.9
26.76,92.93,18,2.6
16.86,75.72,5,2.6
26.73,92.38,15,2.8
29.97,67.88,10,3.9
26.62,92.4,19,3
32.14,76.61,5,2.7
26.77,92.36,10,2.9
26.83,92.5,10,3.4
26.36,92.38,23,2.9
26.62,92.46,10,3.4
26.39,92.52,27,3.2
26.59,92.46,25,3.6
26.54,92.45,26,3.6
26.69,92.41,20,4
26.74,92.42,15,4.7
26.69,92.36,17,6.4
36.69,71.62,165,4.1
28.98,76.72,10,3
26.81,92.73,28,2.6
36.31,75.67,158,4.5
25.43,91.9,5,3
37.84,73.23,150,4.8
36.68,70.99,200,3.9
38.33,74.21,125,4
32.76,76.2,5,2.2
36.48,69.41,56,4.4
36.51,71.62,120,3.9
28.53,94.56,10,2.8
36.46,70.98,190,4.7
37.71,69.52,90,4.4
30.63,87.32,10,3.8
31.36,76.82,10,2.7
31.37,76.58,8,2.9
36.73,68.38,10,3.7
37.7,76.11,10,3.6
11.55,93.62,35,4.3
29.78,89.61,170,4.3
17.42,73.79,5,2.8
17.4,73.78,5,2.9
0.2,96.62,47,6
36.53,71.26,225,4.3
28.78,89.34,75,4.3
25.9,90.29,10,2.9
36.32,69.21,10,4.1
25.74,95.28,89,4.3
22.48,94.08,10,4.8
28.08,93.04,10,2.6
37.21,72.27,10,3.9
37.96,72.68,70,4.2
20.73,76.83,16,3
32.3,98.83,10,4.6
32.35,78.7,10,3.6
37.32,72.44,10,3.6
30.01,79.6,10,2.5
32.43,78.82,100,4.4
32.31,76.39,10,2.9
32.28,76.29,10,3.5
28.81,76.79,10,2.4
19.28,83.38,10,3.2
36.5,70.42,10,3.4
36.23,71.19,19,4.1
23.32,94.1,30,3.1
34.19,76.63,5,3.6
0.12,96.68,30,5.3
36.27,70.55,170,4.4
36.57,71.52,176,4.3
26.24,92.82,10,2.8
32.63,75.98,14,2.8
22.75,94.56,10,3.6
30.3,70.49,10,3.9
36.65,71.56,10,3.4
39.91,72.49,30,3.6
36.52,70.04,225,4
36.5,70.76,200,4.9
36.1,68.05,80,4.2
29.46,89.53,187,3.6
27.61,92.71,10,3.6
29.6,89.6,150,3.8
12.33,78.72,30,3
23.28,81.73,10,3.9
36.72,71.65,10,3.8
28.28,67.01,10,4.2
31.53,90.42,10,4.3
39.31,77,12,3.1
28.1,66.47,10,4.3
36.16,70.49,27,3.8
30.82,71.24,23,4
37.62,72.91,100,3.8
35.36,72.54,10,4.2
32.28,93.26,10,4.3
31.99,92.84,10,4.8
31.28,93.02,10,3.8
37.56,66.59,10,4.3
26.95,89.33,10,3.9
26.28,88.68,5,3.7
21.61,94.52,10,3.6
26.72,89.04,10,4.1
27.55,95.54,39,2.7
27.23,88.84,10,5.1
32.69,76.59,5,2.8
32.63,76.32,14,2.4
36.66,76.17,10,4.4
26.57,93.89,24,2.9
35.97,69.73,60,4.2
37.45,73.28,90,4.7
35.93,66.16,10,4.1
27.62,92.65,5,2.2
32.68,76.48,10,3
34.12,87.81,100,4.3
23.87,92.92,28,3.8
36.66,71.48,11,4.1
37.36,71.17,90,4.5
39.21,72.65,135,4.3
28.82,76.72,10,2.4
37.36,72.21,150,4.2
25.7,91.39,5,2.8
34.93,73.63,10,3.4
34.86,73.42,10,3.5
34.41,76.08,10,3.1
27.99,87.55,10,3.6
34.47,87.69,10,5.6
25.56,91.91,10,3.2
26.24,95.48,100,3.9
7.71,91.3,10,4.1
36.18,77.38,10,4.1
27.57,92.69,10,2.6
27.78,64.67,30,4.4
31.96,92.97,40,3.8
27.36,92.63,6,2.8
35.56,89.32,63,4.1
27.55,92.66,10,5
36.27,70.58,180,3.7
32.47,93.54,200,4
36.51,71.04,150,4.5
35.37,91.17,50,4.3
31.2,84.09,150,4.2
34.58,76.84,30,3.5
19.18,73.95,8,2.4
36.86,75.99,10,3.7
36.58,71.44,10,3.8
37.46,72.95,30,3.6
36.77,71.71,13,4.4
24.14,93.88,40,2.8
36.41,68.01,10,4.1
34.81,70.68,10,3.8
33.64,76.28,10,3
20.17,94.26,10,3.8
25.24,95.02,10,3.3
31.9,92.79,40,4.4
26,90.48,10,2.7
31.52,84.9,200,3.9
32.739,70.177,10,4.2
31.81,90.49,150,3.9
26.64,92.45,10,3.1
26.53,92.58,25,4.1
25.85,95.08,10,4.2
36.42,71.37,10,3.8
32.15,93.47,10,3.8
22.66,91.79,10,3.5
23.01,93.12,17,3.3
34.63,83.49,42,4.7
36.95,71.33,160,4.6
38.34,74.11,10,3.6
28,88.92,75,3.5
32.42,93.94,80,3.8
32.83,73.65,10,3.6
31.79,93.05,79,4.2
31.78,92.81,100,5.8
37.91,71.5,140,4.7
27.75,85.71,10,3.6
30.08,86.39,10,4.1
26.08,94.4,18,3.5
36.37,71.12,10,3.8
26.91,89.21,5,3.8
34.99,73.48,10,3.4
38.13,73.52,10,3.8
16.45,94.46,50,3.8
37.57,69.78,30,4.5
26.36,90.13,10,2.8
28.62,66.59,10,4
26.13,92.71,5,3.1
27.4,87.98,10,3.7
35.08,72.13,10,3.9
23.91,94.29,20,3.1
22.75,94.51,50,3.3
36.35,70.85,41,4.3
27.38,88.76,15,2.1
24.1,93.38,50,2.8
26.25,95.23,80,3.2
26.38,95.98,110,3.6
27.1,90.48,6,2.7
22.48,95.81,10,3.8
36.49,71.56,41,3.8
22.14,78.64,20,2.8
32.7,76.62,5,3.4
36.34,70.8,180,4.5
32.72,76.6,5,2.8
36.49,72.4,230,3.9
27.2,92.37,10,2.8
25.36,94.74,60,4.7
32.64,76.5,10,3.5
36.12,72.16,10,4.3
25.29,94.97,97,4
32.95,75.83,5,3.5
32.92,75.88,5,3.6
38.68,73.67,10,4
36.52,71.65,10,4
33.03,73.6,10,3.8
38.98,70.17,10,3.3
35.01,78.18,10,3.5
34.04,79.37,10,3.7
33,75.86,5,2.9
36.5,71.17,200,4.4
37.5,72.44,150,4.3
36.63,69.31,38,4.4
39,72.84,10,3.4
34.53,79.04,10,3.6
39.82,70.95,10,4.2
36.2,69.6,150,4.3
36.55,70.95,217,3.8
37.56,68.55,90,3.8
37.01,71.47,82,4.2
31.38,86.83,10,3.6
25.17,95.31,10,2.6
27.69,91.8,10,2.8
36.25,71.51,110,4.3
37.47,72.43,17,3.7
39,75.16,10,3.5
26.78,93.05,15,2.7
26.41,92.29,15,2.9
6.91,94.62,90,4.2
24.69,93.11,25,3.7
21.51,94.9,10,3.6
28.69,87.98,20,3.9
28.91,86.65,100,4.1
36.16,70.96,90,3.8
38.63,71.99,10,3.6
36.38,71.55,125,4.3
23.03,94.12,10,3
37.16,72.66,10,4.5
36.42,71.98,10,3.8
26.19,92.05,30,3.6
22.79,96.05,30,3.9
35.875,71.393,100,4.3
22.99,95.47,19,4.1
23.02,95.64,17,3.6
25.21,94.37,48,3.3
22.53,96.48,10,4.2
22.91,95.81,10,4.5
36.45,71.85,24,3.6
32.85,76.22,5,2.4
32.32,76.29,5,2.2
25.89,64.78,37,4.3
19.95,91.03,24,4.8
26.02,95.45,83,4.2
37.4,75.89,10,4
28.72,77,10,1.9
23.98,94.1,94,3.4
27.42,92.65,10,2.6
26.298,92.896,10,2.8
36.484,70.684,155,3.9
37.63,69.18,10,3.9
24.87,94.89,5,2.8
37.37,70.09,74,3.8
28.2,88.16,10,3.7
37.86,72.59,10,3.6
28.6,68.91,140,5
37.25,71.5,10,3.7
23.44,94.38,105,4.3
32.64,76.2,5,2.8
27.9,87.3,10,3.4
24.1,93.58,5,2.4
29.88,80.29,8,4
28.21,87.25,55,3.4
25.55,91.96,50,2.8
36.73,71.69,10,3.8
23.59,94.56,50,3.7
27.15,88.97,5,2.6
34.54,69.19,110,4.3
36.61,71.58,110,3.6
36.62,74.56,10,3.7
17.75,73.55,6,3.3
31.07,78.06,5,2.2
36.71,71.01,220,4.4
36.73,71.31,20,3.6
26.71,92.63,10,4.7
34.44,69.55,180,4.6
12.04,94.78,10,4.2
34.43,77.68,5,3.5
35.53,68.94,10,3.9
25.41,85.35,5,3.5
9.42,93.48,10,4.1
37.62,73.12,50,4.3
25.32,93.83,30,3.4
36.443,70.309,266,4.2
1.03,98.59,10,4.7
22.02,93.79,10,3.5
28.57,87.39,67,3.6
28.91,76.99,5,2.7
31.32,76.87,10,3.2
36.34,71.2,100,3.9
28.27,93.39,10,2.9
37.98,72.58,110,3.9
38,73.58,74,6.3
38.32,73.66,100,4.5
30.1,69.7,290,4.3
37,72.32,234,4.7
22.814,94.524,50,3.7
36.78,70.61,97,4.9
39.55,73.74,10,3.6
23.7,93.1,30,3.1
36.13,71.39,160,4.4
36.05,71.87,200,4.3
36.41,71.19,50,3.5
27.95,87.91,90,4.5
26.99,92.54,5,2.3
36.87,71.97,10,3.9
36.57,71.39,139,3.9
26.57,93.14,30,3.7
39.51,71.55,10,3.6
29.44,74.4,24,3.5
34.22,73.61,30,3.5
39.27,74.29,10,4
37.9,93.3,10,4.2
28.95,73.52,5,3.5
20.98,97.66,10,4.5
36.55,70.5,10,3.7
29.01,77.28,5,1.8
29.03,86.55,10,3.9
27.86,88.14,10,4
36.4,77.09,10,4.6
28.62,87.38,124,4.8
36.53,70.66,10,4.2
23.45,94.21,5,3.4
4.94,95.76,10,4
39.34,71.91,63,3.6
34.33,78.3,10,4.5
36.35,70.87,138,4.2
36.06,76.25,10,4.2
28.66,84.09,40,4.2
36.08,69.45,10,4.3
36.73,71.07,10,4.2
37.17,71.5,169,4.6
28.75,87.45,151,4.9
36.35,71.37,10,4.1
24.84,94.35,35,4
36.62,71.58,16,3.9
26.28,95.73,110,3.6
39.53,72.43,10,3.5
19.53,77.13,5,3.2
26.85,93.31,30,2.7
19.56,77.67,10,3.4
28.36,89.76,10,4
39.68,74.78,10,3.4
32.222,76.418,10,2.8
28.66,77.13,15,2.8
25.96,95.66,16,3.5
38.38,71.84,150,3.7
35.36,73.71,16,3.6
26.27,95.69,10,3.8
28.73,76.92,10,2.7
18.33,73.91,12,2.6
25.14,93.87,15,3.3
28.59,77.01,5,1.9
27.51,93.21,11,3.5
37.08,71.57,90,5.3
27.79,95.04,10,3
39.65,73.238,10,3.2
36.77,68.12,230,4.5
26.42,93.41,5,2.3
24.34,94.95,21,3.9
28.6,77,5,1.9
36.36,71.25,188,3.8
24.84,94.72,10,2.8
36.48,70.82,203,4.4
36.53,77,156,4.2
36.31,70.22,10,3.7
22.02,94.5,10,3.5
36.63,72.42,67,3.8
36.55,72.74,110,4.3
37.84,72.26,195,3.9
34.3,74.53,5,3.6
39.96,77.11,10,3.6
36.39,71.02,10,4
7.62,94.72,120,4.5
36.12,69.51,10,3.7
35.3,73.59,34,3.8
24.31,93.75,28,2.7
34.61,80.896,221,3.6
20.03,72.82,5,3.5
24.29,96.77,10,3.7
37.48,75.11,10,3.5
26,96.53,10,3.9
23.62,93.5,25,3.2
23.65,93.46,55,4.4
35.94,71.12,200,5.3
33.03,75.93,10,4.1
36.42,72.22,100,3.8
1.26,96.42,10,4.3
24.96,93.24,15,4.2
28.86,77.49,5,2.9
22.64,94.58,98,3.8
36.38,70.25,163,3.8
37.3,72.34,135,4.3
19.68,90.75,118,4.3
36.37,71.14,250,4.5
33.34,75.47,5,5.1
33.22,75.58,5,3.8
36.47,70.6,150,4.2
36.49,70.75,147,4.5
27.21,89.92,10,3.1
37.35,72.23,220,4.2
36.75,71.39,230,3.9
22.93,94.22,50,3.5
37.39,72.04,85,3.7
32.31,76.3,10,4.2
30.79,78.58,10,3.3
20.13,84.25,5,3.2
36.47,71.46,10,3.6
37.16,71.34,130,4.1
29.85,79.77,10,3.3
22.56,69.65,20,2.7
6.99,93.91,72,4.4
37.17,72.09,99,3.9
23.06,94.26,32,3.7
26.95,92.93,8,2.5
32.35,76.61,5,3.2
34.28,74.52,5,3.5
26.21,90.94,5,2.5
26.52,93.03,10,2.8
35.89,70.17,250,4.1
20.095,72.928,5,2.4
32.51,76.4,30,2.6
36.94,72.11,121,4.5
21.79,74.7,5,3.3
30.59,79.28,5,2.4
23.03,94.04,10,3.2
24.45,94.86,98,3.1
27.32,88.62,5,2.6
24.19,93.85,40,3.1
27.07,89.16,5,2.8
34.7,72.92,10,4.7
27.69,86.33,100,3.9
35.78,71.51,150,4.2
28.49,91.96,112,3.1
18.88,95.26,64,3.8
37.31,71.84,45,4.2
36.66,71.31,221,3.9
24.65,94.53,40,3.1
27.41,96.55,10,3.5
16.15,93.07,50,4.1
37.39,71.82,186,3.9
25.7,94.7,30,2.8
26.06,95.38,120,3.6
37.96,73.54,50,3.8
28.7,77.04,5,2.3
25.47,96.25,100,3.9
27.11,88.34,5,2.5
36.28,69.35,50,4
25.69,96.55,198,3.9
25.79,96.46,150,3.6
25.58,96.53,100,4.6
38.24,71.72,10,4.2
26.1,93.01,5,3
34.21,97.99,10,4.6
24.51,94.94,123,2.8
37.13,71.71,10,3.9
27.17,96.05,150,3.7
16.36,94.45,219,3.9
36.81,71.93,16,3.7
36.15,69.08,25,4.7
37,71.6,150,3.9
33.66,76.64,5,3.7
32.69,76.42,5,2.4
22.98,93.77,10,3.4
36.32,71.67,10,4.2
36.7,70.89,239,4.4
29.66,80.53,5,2.9
21.73,94.35,10,4.1
36.79,72.03,10,4
36.96,72.07,10,3.7
36.61,71.31,173,4.4
28.19,76.67,25,4.2
24.15,93.74,36,3.2
27.4,75.43,5,3
35.14,70.27,10,4.2
36.82,72.53,101,3.7
27.7,94.2,10,3.1
37.12,73.53,10,4
37.22,73.49,10,4.3
31.49,76.84,5,3.2
23.82,93.11,57,3.4
39.34,75.8,100,3.7
38.66,73.35,50,4.2
36.66,68.94,50,4.3
21.22,95.49,13,3.7
35.92,68.92,50,4
31.98,77.35,10,2.4
24.45,73.26,5,2.3
36.62,71.23,10,4.1
36.27,72.18,33,3.8
26.85,94.42,10,2.6
26.88,96.18,10,3.3
26.46,94.58,5,2.6
36.54,71.24,10,3.9
23.89,92.88,40.1,3.2
10.97,76.1,10,2.5
21.59,90.31,10,4.1
15.49,94.06,10,4.2
25.87,90.52,10,3.9
37.04,71,10,4.4
26.54,96.66,145,4.1
26.703,95.313,10,2.5
24.98,95,27.7,3.1
22.11,94.2,87,5.2
28.96,76.99,14,3.3
32.72,76.62,5,2.6
36.25,73.74,10,3.6
36.81,71.84,10,4
12.79,93.14,10,4.3
32.71,76.65,5,2.8
39.07,75.73,65,3.6
37.856,66.942,15.8,4.3
35.972,70.623,167,4.3
36.46,71.44,150,4
39.49,75.7,10,4.1
26.92,92.67,10,3.4
36.42,71.26,119,4.3
30.11,80.56,5,2.6
22.14,86.05,63,3.9
3.09,97.92,144,5.2
34.49,75.95,10,3.5
33.1,72.67,10,3.9
27.49,94.34,60,3.1
38.296,75.376,169,4.3
28.79,77.46,5,2.7
30.03,77.95,10,3.9
36.36,70.59,232,4.2
31.56,72.84,10,3.6
36.7,71.58,20,3.9
33.72,88.6,200,4.1
36.14,71.06,200,3.6
36.54,71.2,263,5.2
36.35,71.39,115,4.4
0.12,97.66,10,4.5
